,explode,title,title_length,Category,publish_time,original,images,push_ratio_10,shh_ratio_10
37,0,彰化人肉圓都吃哪家？,10,問卦,Mon Dec  2 22:35:37 2019,0,0,0.6,0.2
38,0,韓國瑜喊民進黨做不好下台 扁嗆：沒好好,19,新聞,Mon Dec  2 22:36:14 2019,0,0,0.6666666666666666,0.0
39,0,請問卡神是第一個被法院認證的網軍嗎？,18,問卦,Mon Dec  2 22:07:19 2019,1,0,0.6,0.0
40,0,PChome無法24H到貨的地方,16,問卦,Mon Dec  2 22:08:06 2019,1,0,0.7,0.0
41,0,我是來自宇宙的太空騎警,11,問卦,Mon Dec  2 22:09:02 2019,1,0,0.5714285714285714,0.14285714285714285
42,0,談李佳芬訪東南亞 韓國瑜：馬來西亞、印,19,新聞,Mon Dec  2 22:09:10 2019,1,1,0.1,0.6
43,0,捷運禁止飲食但旁邊都在賣吃的?,15,問卦,Mon Dec  2 22:09:55 2019,1,0,0.1,0.3
44,0,快訊／為買手機科長威脅北醫生　國健署：,19,新聞,Mon Dec  2 22:11:07 2019,0,0,0.0,0.2
45,0,不意外！卡神遭檢察官認證網軍頭 柯文哲:,20,新聞,Mon Dec  2 22:11:14 2019,0,1,0.4,0.3
46,0,有沒有日本學校名稱很三小的八卦,15,問卦,Mon Dec  2 22:11:50 2019,1,1,0.4,0.0
47,0,一例一休使勞工收入減少需兼差找工作 呂,19,新聞,Mon Dec  2 22:12:24 2019,1,0,0.4,0.5
48,0,（影）「柯侯會」突襲惹怒媒體 北市府：兩市長有空 臨時,27,新聞,Mon Dec  2 22:12:48 2019,0,1,0.4,0.0
49,0,拯救珊瑚礁奇招  水下播熱鬧環境音吸引魚,20,新聞,Mon Dec  2 22:13:09 2019,1,1,0.5,0.1
50,0,韓國瑜喊民進黨做不好下台 扁嗆：沒好好,19,新聞,Mon Dec  2 22:15:31 2019,1,1,0.2,0.4
51,0,賣二手女用健身環有沒有搞頭,13,問卦,Mon Dec  2 22:15:32 2019,1,0,0.8,0.0
52,0,翟本喬駁送高價口罩…友情價含稅只要28,19,新聞,Mon Dec  2 22:15:39 2019,1,1,0.6,0.0
53,0,這種氣候484連貓貓也受不了??,16,問卦,Mon Dec  2 22:16:49 2019,1,1,0.7,0.0
54,0,火車鄰座2女糾紛 下車推她下月台判賠108,21,新聞,Mon Dec  2 22:16:51 2019,1,0,0.5,0.0
55,1,女同事今天穿毛衣，胸部曲線全都露,16,問卦,Mon Dec  2 22:16:53 2019,0,1,0.8,0.0
56,0,9月6日FBI關閉天文台的八卦?,16,問卦,Mon Dec  2 22:18:43 2019,1,0,0.5,0.0
57,0,彰化人肉圓都吃哪家？,10,問卦,Mon Dec  2 22:19:41 2019,1,0,0.7,0.1
58,0,有沒有台灣漫畫月刊的八卦,12,問卦,Mon Dec  2 21:54:09 2019,1,0,0.6,0.0
59,0,湯婆婆跟荒野女巫該怎麼選,12,問卦,Mon Dec  2 21:55:41 2019,1,0,0.6666666666666666,0.1111111111111111
60,0,瞎！國軍以戰備急需款買平板電腦 營區卻,19,新聞,Mon Dec  2 21:56:37 2019,0,0,1.0,0.0
61,0,統一也是近十年才計畫的不是嗎？,15,問卦,Mon Dec  2 21:57:24 2019,1,0,0.5,0.3
62,0,開一張罰單賺30 可以年薪百萬嗎?,17,問卦,Mon Dec  2 21:57:30 2019,1,0,0.3,0.0
63,0,各界挺韓大會 韓：台灣選舉幾十年、今年,19,新聞,Mon Dec  2 21:57:48 2019,1,1,0.1,0.6
64,0,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:57:50 2019,0,0,0.4,0.0
65,0,,0,新聞,Mon Dec  2 21:59:27 2019,1,0,0.6,0.2
66,0,一萬元在 PTT 可以幹麻?,14,問卦,Mon Dec  2 21:59:27 2019,1,1,0.3,0.1
67,0,現在就覺得很冷的人該怎麼辦?,14,問卦,Mon Dec  2 21:59:43 2019,1,0,0.5,0.1
68,0,慟! 二階堂ふみ&染谷將太 合作太多次了吧,21,問卦,Mon Dec  2 22:00:14 2019,1,1,0.25,0.25
69,0,女同事今天穿毛衣，胸部曲線全都露,16,問卦,Mon Dec  2 22:02:57 2019,0,1,0.7,0.0
70,0,兒福砸3.7億買內湖辦公室！　他心涼「捐,20,新聞,Mon Dec  2 22:03:26 2019,0,0,0.6,0.0
71,0,民進黨版《反滲透法》打假球？ 時力委：,19,新聞,Mon Dec  2 22:03:52 2019,1,1,0.6,0.0
72,0,健保重大傷病 去年支出首破2000億,18,新聞,Mon Dec  2 22:04:02 2019,1,1,0.3,0.0
73,0,那...來台灣好了! 反制港人權法 中國暫停,22,新聞,Mon Dec  2 22:04:54 2019,1,0,0.7,0.0
74,0,疑送高價口罩涉賄選 翟本喬：友情價28元,20,新聞,Mon Dec  2 22:05:44 2019,0,0,0.4,0.2
75,0,這樣的男生有辦法脱魯嗎？,12,問卦,Mon Dec  2 22:06:12 2019,1,0,0.3,0.2
76,0,建銘484感謝蕙如跳出來坦？,14,問卦,Mon Dec  2 21:38:25 2019,1,0,0.42857142857142855,0.0
77,0,門諾醫院籌建「失智家屋」 慈善音樂會愛,19,新聞,Mon Dec  2 21:38:55 2019,1,0,0.7142857142857143,0.14285714285714285
78,0,九萬跟一萬差在哪？,9,問卦,Mon Dec  2 21:40:48 2019,1,0,0.5,0.0
79,0,【獨家】習近平幕僚稱中共已走投無路,17,新聞,Mon Dec  2 21:42:55 2019,0,1,0.7,0.0
80,0,有沒有女妖症候群的八卦???,14,問卦,Mon Dec  2 21:43:09 2019,1,0,0.6666666666666666,0.0
81,0,現在的手遊畫面是不是越來越色？,15,問卦,Mon Dec  2 21:43:20 2019,1,1,0.4,0.0
82,0,為什麼沒有台灣國魚?,10,問卦,Mon Dec  2 21:43:43 2019,1,0,0.0,0.1
83,0,現在鄉民都不怕被卡神楊蕙如告嗎？,16,問卦,Mon Dec  2 21:43:53 2019,1,0,0.4,0.0
84,0,完蛋！女兒「簽聯絡簿」被抓包！網笑：要,19,新聞,Mon Dec  2 21:44:24 2019,1,1,0.4,0.1
85,0,全台移轉量料連3紅 站上30萬棟多空指標,20,新聞,Mon Dec  2 21:44:49 2019,1,0,0.4,0.0
86,0,李永樂字可以在寫醜一點,11,問卦,Mon Dec  2 21:45:44 2019,1,0,0.2,0.2
87,0,崩潰分手阿乃！孫安佐爆復合米砂 本人痛,19,新聞,Mon Dec  2 21:47:24 2019,1,0,0.7,0.0
88,0,小時候拿到很爛成績第一個想法是甚麼?,18,問卦,Mon Dec  2 21:48:19 2019,1,0,0.3,0.1
89,0,為什麼有人喜歡五等分的老太婆啊？,16,問卦,Mon Dec  2 21:48:50 2019,1,1,0.5,0.1
90,0,歐雨修談南部美食 高雄滷肉飯比台北更好,19,新聞,Mon Dec  2 21:50:05 2019,1,0,0.4,0.0
91,0,找不到卡神的起訴書,9,問卦,Mon Dec  2 21:50:38 2019,1,0,0.4,0.0
92,0,突然冷成這樣是在哈囉?,11,問卦,Mon Dec  2 21:51:26 2019,1,1,0.5,0.2
93,0,（影）「柯侯會」突襲惹怒媒體 北市府：兩市長有空 臨時一同用餐,31,新聞,Mon Dec  2 21:51:36 2019,1,1,0.4,0.3
94,0,【獨家】習近平幕僚稱中共已走投無路,17,新聞,Mon Dec  2 21:51:56 2019,0,0,0.5,0.1
95,0,想組路跑團，團名推薦,10,問卦,Mon Dec  2 21:54:05 2019,1,0,0.3,0.1
96,1,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:29:32 2019,0,1,0.8,0.0
97,0,吳怡農批「蔣經國是壞人」　蔣萬安反擊：,19,新聞,Mon Dec  2 21:30:15 2019,0,0,0.2,0.3
98,0,女同事今天穿毛衣，胸部曲線全都露,16,問卦,Mon Dec  2 21:30:17 2019,1,1,0.0,0.4
99,0,摯愛成植物人！王牌經紀人出書揭「謊言」,19,新聞,Mon Dec  2 21:30:59 2019,1,0,0.3333333333333333,0.3333333333333333
100,0,網軍「黑」死外交官？法界：楊蕙如辦成「,19,新聞,Mon Dec  2 21:31:18 2019,1,1,0.4,0.0
101,0,日本擬年底通過內閣會議 派遣自衛隊至中,19,新聞,Mon Dec  2 21:31:16 2019,1,0,0.0,0.0
102,0,如何用一句話形容2019的PTT,16,問卦,Mon Dec  2 21:31:19 2019,0,0,0.5555555555555556,0.2222222222222222
103,0,高雄人會讓韓國瑜下台！　陳水扁酸：有這,19,新聞,Mon Dec  2 21:31:20 2019,1,0,0.4,0.2
104,0,「ㄘ窩屌辣」是不是過氣ㄌ？,13,問卦,Mon Dec  2 21:33:10 2019,1,0,0.2,0.2
105,0,爸爸不肯買車給他 22歲巨嬰男鑰匙刮花BMW,22,新聞,Mon Dec  2 21:33:11 2019,1,1,0.6,0.0
106,0,德國將關閉所有核電廠 核廢料無葬身之地,19,新聞,Mon Dec  2 21:34:18 2019,1,0,0.5,0.0
107,0,北檢認證　「卡神」楊蕙如養網軍帶風向,18,新聞,Mon Dec  2 21:34:32 2019,1,1,0.8,0.2
108,0,蘇啟誠輕生案 楊蕙如涉侮辱公署遭起訴,18,新聞,Mon Dec  2 21:34:56 2019,1,1,0.4,0.0
109,1,不意外！卡神遭檢察官認證網軍頭 柯文哲:,20,新聞,Mon Dec  2 21:35:06 2019,1,1,0.6,0.0
110,0,鼓勵接種疫苗 莫斯科求助吸血鬼,15,新聞,Mon Dec  2 21:35:16 2019,1,0,0.25,0.25
111,0,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:35:43 2019,0,0,0.3333333333333333,0.1111111111111111
112,0,暴利驚人黑幕多！盜採砂石「零成本」黑白,19,新聞,Mon Dec  2 21:36:35 2019,1,0,0.0,0.25
113,0,有沒有von Neumann的八卦?,18,問卦,Mon Dec  2 21:37:51 2019,1,0,0.6,0.0
114,0,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:37:58 2019,0,0,0.5,0.0
115,0,兩岸關係 應從大陸角度思考,13,新聞,Mon Dec  2 21:16:51 2019,1,0,0.3,0.4
116,0,楊蕙如帶風向手法曝光！下線網軍憑截圖,18,新聞,Mon Dec  2 21:18:13 2019,0,0,0.4,0.0
117,0,天下武功出少林是真的嗎?,12,問卦,Mon Dec  2 21:18:42 2019,0,0,0.0,0.0
118,0,黃Sir從屋頂上掉下來了!!!,15,問卦,Mon Dec  2 21:19:41 2019,1,0,0.5,0.2
119,0,南韓抗空汙將關14座燃煤電廠 他揭台灣大,20,新聞,Mon Dec  2 21:19:55 2019,0,1,0.1,0.0
120,0,大陸律師親歷反送中：望通過香港改變大陸,19,新聞,Mon Dec  2 21:20:13 2019,1,1,0.6,0.0
121,0,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:20:36 2019,0,1,0.4,0.0
122,0,如果八卦登入次數不限，是不是風向又不同,19,問卦,Mon Dec  2 21:20:47 2019,1,0,0.6,0.1
123,0,出國去東南亞不去泰國改去哪更好？,16,問卦,Mon Dec  2 21:22:27 2019,1,1,0.3,0.0
124,0,6搶1／棒協希望修改協議書 中職：實難接,20,新聞,Mon Dec  2 21:23:18 2019,1,0,0.5,0.0
125,0,兒福砸3.7億買內湖辦公室！　他心涼「捐,20,新聞,Mon Dec  2 21:25:22 2019,0,0,0.1,0.1
126,0,為什麼8＋9都鳥仔腳？,11,問卦,Mon Dec  2 21:26:24 2019,1,0,0.4,0.2
127,0,全球ETF資產突破6兆美元 波動時恐加劇賣壓,22,新聞,Mon Dec  2 21:26:50 2019,1,0,0.0,0.3333333333333333
128,0,PTT是記者的百寶庫?,11,問卦,Mon Dec  2 21:26:55 2019,1,0,0.5714285714285714,0.0
129,0,拿自己性愛影片稱遭友人下藥性侵 反被控,19,新聞,Mon Dec  2 21:27:14 2019,1,0,0.7,0.0
130,0,兒福砸3.7億買內湖辦公室！　他心涼「捐,20,新聞,Mon Dec  2 21:28:58 2019,0,0,0.3,0.0
131,0,還在撐蟑螂的是什麼人阿？,12,問卦,Mon Dec  2 21:29:04 2019,1,0,0.6,0.0
132,0,員工不是機器人！工作4小時休息10分鐘　,20,新聞,Mon Dec  2 21:29:27 2019,1,0,0.14285714285714285,0.0
133,0,臺灣史蒂芬金--->九把刀,13,問卦,Mon Dec  2 21:05:42 2019,1,0,0.2,0.5
134,0,用4個字總結2019年?,12,問卦,Mon Dec  2 21:05:56 2019,1,0,0.6,0.0
135,0,兒福砸3.7億買內湖辦公室！　他心涼「捐,20,新聞,Mon Dec  2 21:06:14 2019,0,0,0.4,0.1
136,0,侯友宜酸蔡英文 她偶爾來喊凍蒜凍蒜而已,19,新聞,Mon Dec  2 21:06:21 2019,1,1,0.3,0.1
137,0,以後是不是維持1500次就好,14,問卦,Mon Dec  2 21:06:26 2019,1,0,0.6,0.0
138,0,韓國瑜開支票 45歲以下軍公教警消帶職帶,20,新聞,Mon Dec  2 21:07:50 2019,1,0,0.5,0.3
139,0,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:09:12 2019,0,1,0.5,0.0
140,0,中國經濟風險大增 台灣三大金控西進喊煞,19,新聞,Mon Dec  2 21:09:28 2019,1,0,0.75,0.0
141,0,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:09:50 2019,0,1,0.0,0.0
142,0,那種欺負公務員的手法最狠,12,問卦,Mon Dec  2 21:10:13 2019,1,0,0.5,0.1
143,0,韓國瑜自爆未實現創意:充氣皮箱和風力汽車,20,新聞,Mon Dec  2 21:10:32 2019,0,0,0.4,0.0
144,0,取福島核一燃料棒 預計後年展開需10年,19,新聞,Mon Dec  2 21:10:43 2019,1,0,0.6666666666666666,0.0
145,0,台商回流熱潮》尾牙活動大王：今年接案,18,新聞,Mon Dec  2 21:10:51 2019,1,0,0.5,0.1
146,0,會有認為禿頭的配不上一口爛牙的女子的,18,問卦,Mon Dec  2 21:11:08 2019,1,0,0.0,0.0
147,0,天下武功出少林是真的嗎?,12,問卦,Mon Dec  2 21:11:28 2019,1,0,0.5,0.1
148,0,騎車緊跟前車屁股？,9,問卦,Mon Dec  2 21:12:01 2019,1,0,0.5,0.0
149,0,繼北約腦死說後 馬克宏「俄國不是敵人」,19,新聞,Mon Dec  2 21:12:37 2019,0,0,0.6666666666666666,0.0
150,0,兒福砸3.7億買內湖辦公室！　他心涼「捐,20,新聞,Mon Dec  2 21:15:32 2019,0,0,0.5555555555555556,0.2222222222222222
151,0,搶快！北市外送員單月車禍1死104傷18-25,23,新聞,Mon Dec  2 21:15:51 2019,0,1,0.14285714285714285,0.0
152,0,關渡公園邁入第20年 國際濕地研討會聚焦,20,新聞,Mon Dec  2 20:50:28 2019,1,0,0.0,0.0
153,0,有沒有北大清華的八卦?,11,問卦,Mon Dec  2 20:51:43 2019,1,0,1.0,0.0
154,0,有沒有吃到飽大味王的八卦？,13,問卦,Mon Dec  2 20:52:17 2019,1,0,0.8,0.2
155,0,難道你要投…？,7,問卦,Mon Dec  2 20:52:23 2019,1,0,0.7,0.2
156,1,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 20:52:28 2019,1,1,0.3,0.1
157,0,今年最後一次領薪水可以領十萬要怎麼花？,19,問卦,Mon Dec  2 20:52:27 2019,1,0,0.2,0.4
158,0,欠下百萬卡債找什麼工作重新開啟新人生？,19,問卦,Mon Dec  2 20:53:06 2019,1,0,0.6,0.0
159,0,微波便當為啥那麼貴啊,10,問卦,Mon Dec  2 20:54:10 2019,1,0,0.3,0.1
160,0, 韓總缺錢囉！,7,爆卦,Mon Dec  2 20:56:40 2019,0,1,0.5,0.0
161,0,如何用一句話形容2019的PTT,16,問卦,Mon Dec  2 20:56:53 2019,1,0,0.7,0.0
162,0,台男選愛情還是麵包,9,問卦,Mon Dec  2 20:57:28 2019,1,0,0.1,0.3
163,0,一則爆文九萬塊？,8,問卦,Mon Dec  2 20:57:53 2019,0,0,0.4,0.0
164,0,"""卡稱網軍"" PTT吵翻天 現實靜悄悄?",20,問卦,Mon Dec  2 20:58:28 2019,0,0,0.5,0.0
165,0,楊蕙如帶風向手法曝光！下線網軍憑截圖,18,新聞,Mon Dec  2 20:58:49 2019,0,1,0.9,0.0
166,0,好感度要再加油 蔡壁如：我要裝可愛一點,19,新聞,Mon Dec  2 20:58:54 2019,1,1,0.4,0.3
167,0,中國前維吾爾自治區主席遭判無期徒刑,17,新聞,Mon Dec  2 20:58:56 2019,1,0,0.5,0.0
168,0,得天獨厚的00後,8,問卦,Mon Dec  2 21:02:00 2019,1,0,0.4,0.4
169,0,貓貓484覺得躺著很爽r,12,問卦,Mon Dec  2 21:02:14 2019,1,1,0.8,0.0
170,0,上杉謙信到底強不強?,10,問卦,Mon Dec  2 21:04:27 2019,1,1,0.3,0.1
171,0,「卡神」＝綠網軍？北檢起訴書通篇沒提到,19,新聞,Mon Dec  2 21:04:40 2019,0,1,0.2,0.2
172,0,說真的有點同情卡神楊蕙如,12,問卦,Mon Dec  2 20:35:52 2019,1,1,0.4,0.2
173,0,兒福砸3.7億買內湖辦公室！　他心涼「捐,20,新聞,Mon Dec  2 20:37:30 2019,0,0,0.3,0.1
174,0,泰國駐台代表處公告-關於簽證,14,爆卦,Mon Dec  2 20:38:12 2019,1,0,0.6,0.0
175,0,為什麼新聞要一直報最強大腦,13,問卦,Mon Dec  2 20:41:20 2019,1,1,0.1,0.0
176,0,父仇！吳怡農哽咽嗆蔣經國害爸爸沒工作,18,新聞,Mon Dec  2 20:41:27 2019,0,1,0.3,0.2
177,0,搶快！北市外送員單月車禍1死104傷18-25,23,新聞,Mon Dec  2 20:42:47 2019,0,1,0.3,0.0
178,0,少林36房算是科學化訓練嗎?,14,問卦,Mon Dec  2 20:43:29 2019,1,0,0.4,0.1
179,0,韓粉接不到民調電話 「卡韓」？中華電信,19,新聞,Mon Dec  2 20:43:46 2019,1,0,0.5,0.1
180,0,女神楊恭如是怎麼走到今天這一步的？,17,問卦,Mon Dec  2 20:44:01 2019,1,0,0.5,0.1
181,0,泰國是東南亞最好玩的國家ㄇ,13,問卦,Mon Dec  2 20:44:22 2019,1,0,0.4,0.3
182,0,Axios：香港法擋路，美中貿易協議陷僵局,21,新聞,Mon Dec  2 20:45:28 2019,1,0,0.5,0.2
183,0,林鄭月娥：香港外憂內患民眾驚怕 港府難,19,新聞,Mon Dec  2 20:47:15 2019,1,1,0.5,0.1
184,0,有沒有收到什麼交換禮物會生氣的八卦,17,問卦,Mon Dec  2 20:49:10 2019,0,0,0.0,0.0
185,0,卡神遭爆開價月500萬 主導PTT風向,19,新聞,Mon Dec  2 20:49:28 2019,0,0,0.3,0.5
186,0,扯！小黃闖紅燈連環衝撞2機車　2騎士受傷,20,新聞,Mon Dec  2 20:49:46 2019,1,1,0.6,0.1
187,0,楊蕙如帶風向手法曝光！下線網軍憑截圖,18,新聞,Mon Dec  2 20:50:15 2019,0,1,0.5,0.0
188,1,批韓國瑜岳家長期占地　黃國昌：透過圈地,19,新聞,Mon Dec  2 20:19:30 2019,1,0,0.4,0.2
189,0,圖奇實況主抗壓力484屌虐youtuber,21,問卦,Mon Dec  2 20:21:20 2019,1,0,0.6,0.0
190,0,天外飛仙的八卦？,8,問卦,Mon Dec  2 20:23:19 2019,1,0,0.7,0.0
191,0,兒福也需要炒房？,8,爆卦,Mon Dec  2 20:24:00 2019,0,1,0.0,0.0
192,0,不買YAMAHA日本車 貪便宜兩陽的在想什麼?,23,問卦,Mon Dec  2 20:24:00 2019,0,0,0.3,0.0
193,0,台視和非凡是不是最中立的新聞?,15,問卦,Mon Dec  2 20:24:10 2019,1,0,0.3,0.0
194,0,有沒有學長房間味道的八卦,12,問卦,Mon Dec  2 20:24:28 2019,1,1,0.4,0.1
195,0,卡神遭爆開價月500萬 主導PTT風向,19,新聞,Mon Dec  2 20:27:45 2019,0,0,0.2,0.0
196,0,搶快！北市外送員單月車禍1死104傷18-25,23,新聞,Mon Dec  2 20:28:28 2019,1,1,0.5,0.1
197,0,何時變成了長大不想成為的大人,14,問卦,Mon Dec  2 20:28:28 2019,1,0,0.2,0.2
198,0,疑送高價口罩涉賄選 翟本喬：友情價28元,20,新聞,Mon Dec  2 20:29:20 2019,0,1,0.3333333333333333,0.0
199,0,美國又有小飛機失事 德州3死,14,新聞,Mon Dec  2 20:29:25 2019,1,0,0.0,0.0
200,0,韓國瑜自爆未實現創意:充氣皮箱和風力汽車,20,新聞,Mon Dec  2 20:30:24 2019,0,1,0.0,0.0
201,0,韓國瑜頻遭抹黑 吳伯雄怒了,13,新聞,Mon Dec  2 20:30:55 2019,1,1,0.7,0.1
202,1,卡神楊蕙如遭起訴！「柯P的一隻小黑狗」,19,新聞,Mon Dec  2 20:31:36 2019,0,1,0.7,0.1
203,0,好感度要再加油 蔡壁如：我要裝可愛一點,19,新聞,Mon Dec  2 20:32:12 2019,1,0,0.1,0.4
204,0,卡神遭爆開價月500萬 主導PTT風向,19,新聞,Mon Dec  2 20:32:19 2019,0,0,0.3,0.3
205,0,注視別人太久眼睛會失焦頭暈正常嗎,16,問卦,Mon Dec  2 20:32:22 2019,1,1,0.5,0.0
206,0,今晚公視頭條為卡神 是想掩蓋什麼？,17,問卦,Mon Dec  2 20:33:03 2019,1,1,0.3,0.2
207,0,【獨家】習近平幕僚稱中共已走投無路,17,新聞,Mon Dec  2 20:34:23 2019,1,1,0.5,0.1
208,0,家裡門牌是台北市仁愛路XX號的有庶民嗎??,21,問卦,Mon Dec  2 20:06:55 2019,1,1,0.7,0.0
209,0,講到老人問題 就喜歡情感綁架?,15,問卦,Mon Dec  2 20:07:32 2019,1,0,0.0,0.42857142857142855
210,0,疑送高價口罩涉賄選 翟本喬：友情價28元,20,新聞,Mon Dec  2 20:08:06 2019,0,1,0.5,0.0
211,0,禮儀之邦是不是已經墮落了？,13,問卦,Mon Dec  2 20:08:36 2019,1,1,0.125,0.625
212,0,歐陽娜娜被中國網民酸,10,問卦,Mon Dec  2 20:08:38 2019,1,1,0.6,0.0
213,0,"""卡稱網軍"" PTT吵翻天 現實靜悄悄?",20,問卦,Mon Dec  2 20:08:59 2019,1,1,0.3,0.2
214,0,熊貓跟ubereat 哪個會先倒啊,17,問卦,Mon Dec  2 20:11:16 2019,1,0,0.2,0.2
215,0,高職妹這種天氣穿熱褲？？,12,問卦,Mon Dec  2 20:11:58 2019,0,1,0.5,0.4
216,0,繼北約腦死說後 馬克宏「俄國不是敵人」,19,新聞,Mon Dec  2 20:13:37 2019,0,0,0.4444444444444444,0.0
217,0,HTC歲末加碼購物優惠 再抽東京雙人行,19,新聞,Mon Dec  2 20:15:45 2019,1,0,0.3333333333333333,0.5
218,0,鼓勵韓國瑜當「男子漢」 侯友宜：勇敢承,19,新聞,Mon Dec  2 20:16:27 2019,1,0,0.4,0.2
219,0,"""卡稱網軍"" PTT吵翻天 現實靜悄悄?",20,問卦,Mon Dec  2 20:16:31 2019,0,0,0.3,0.1
220,0,日本超商便當看起來怎那麼好吃?,15,問卦,Mon Dec  2 20:17:10 2019,1,1,0.2,0.2
